"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"d:\Users\LPY\Desktop\创作输出\python基础\python-project\alien_invasion\README.md", "Markdown", 0, 31, 0, 16, 47
"d:\Users\LPY\Desktop\创作输出\python基础\python-project\alien_invasion\alien.py", "Python", 28, 0, 6, 7, 41
"d:\Users\LPY\Desktop\创作输出\python基础\python-project\alien_invasion\alien_invasion.py", "Python", 33, 0, 16, 14, 63
"d:\Users\LPY\Desktop\创作输出\python基础\python-project\alien_invasion\bullet.py", "Python", 21, 0, 4, 10, 35
"d:\Users\LPY\Desktop\创作输出\python基础\python-project\alien_invasion\button.py", "Python", 21, 0, 4, 9, 34
"d:\Users\LPY\Desktop\创作输出\python基础\python-project\alien_invasion\game_functions.py", "Python", 148, 0, 32, 38, 218
"d:\Users\LPY\Desktop\创作输出\python基础\python-project\alien_invasion\game_state.py", "Python", 8, 0, 0, 2, 10
"d:\Users\LPY\Desktop\创作输出\python基础\python-project\alien_invasion\scoreboard.py", "Python", 23, 0, 8, 7, 38
"d:\Users\LPY\Desktop\创作输出\python基础\python-project\alien_invasion\settings.py", "Python", 29, 0, 7, 7, 43
"d:\Users\LPY\Desktop\创作输出\python基础\python-project\alien_invasion\ship.py", "Python", 29, 0, 4, 12, 45
"d:\Users\LPY\Desktop\创作输出\python基础\python-project\alien_invasion\tempCodeRunnerFile.py", "Python", 21, 0, 11, 12, 44
"d:\Users\LPY\Desktop\创作输出\python基础\python-project\alien_invasion\test.py", "Python", 25, 0, 8, 9, 42
"Total", "-", 386, 31, 100, 143, 660
